Índice;Data de Referência;Número Índice;Variação Diária (%);Variação no Mês (%);Variação no Ano (%);Variação 12 Meses (%)
IHFA;11/07/2008;1.039,70;-0,0365;-0,3489;4,0002;
IHFA;14/07/2008;1.041,14;0,1385;-0,2109;4,1442;
IHFA;15/07/2008;1.041,31;0,0163;-0,1946;4,1612;
IHFA;16/07/2008;1.041,80;0,0471;-0,1476;4,2102;
IHFA;17/07/2008;1.039,67;-0,2045;-0,3518;3,9972;
IHFA;18/07/2008;1.039,37;-0,0289;-0,3805;3,9672;
IHFA;21/07/2008;1.040,48;0,1068;-0,2741;4,0782;
IHFA;22/07/2008;1.039,82;-0,0634;-0,3374;4,0122;
IHFA;23/07/2008;1.039,48;-0,0327;-0,37;3,9782;
IHFA;24/07/2008;1.037,54;-0,1866;-0,5559;3,7841;
IHFA;25/07/2008;1.037,66;0,0116;-0,5444;3,7961;
IHFA;28/07/2008;1.038,34;0,0655;-0,4792;3,8641;
IHFA;29/07/2008;1.039,54;0,1156;-0,3642;3,9842;
IHFA;30/07/2008;1.042,63;0,2972;-0,0681;4,2932;
IHFA;31/07/2008;1.042,86;0,0221;-0,046;4,3163;
IHFA;01/08/2008;1.040,91;-0,187;-0,187;4,1212;
IHFA;04/08/2008;1.037,60;-0,318;-0,5044;3,7901;
IHFA;05/08/2008;1.037,88;0,027;-0,4775;3,8181;
IHFA;06/08/2008;1.039,43;0,1493;-0,3289;3,9732;
IHFA;07/08/2008;1.038,64;-0,076;-0,4047;3,8941;
IHFA;08/08/2008;1.038,11;-0,051;-0,4555;3,8411;
IHFA;11/08/2008;1.036,10;-0,1936;-0,6482;3,6401;
IHFA;12/08/2008;1.035,48;-0,0598;-0,7077;3,578;
IHFA;13/08/2008;1.034,49;-0,0956;-0,8026;3,479;
IHFA;14/08/2008;1.035,29;0,0773;-0,7259;3,559;
IHFA;15/08/2008;1.035,03;-0,0251;-0,7508;3,533;
IHFA;18/08/2008;1.034,13;-0,087;-0,8371;3,443;
IHFA;19/08/2008;1.034,86;0,0706;-0,7671;3,516;
IHFA;20/08/2008;1.037,45;0,2503;-0,5188;3,7751;
IHFA;21/08/2008;1.038,38;0,0896;-0,4296;3,8681;
IHFA;22/08/2008;1.038,60;0,0212;-0,4085;3,8901;
IHFA;25/08/2008;1.036,40;-0,2118;-0,6195;3,6701;
IHFA;26/08/2008;1.036,52;0,0116;-0,6079;3,6821;
IHFA;27/08/2008;1.037,24;0,0695;-0,5389;3,7541;
IHFA;28/08/2008;1.038,28;0,1003;-0,4392;3,8581;
IHFA;29/08/2008;1.038,23;-0,0048;-0,444;3,8531;
IHFA;01/09/2008;1.038,20;-0,0029;-0,0029;3,8501;
IHFA;02/09/2008;1.036,88;-0,1271;-0,13;3,7181;
IHFA;03/09/2008;1.035,37;-0,1456;-0,2755;3,567;
IHFA;04/09/2008;1.031,92;-0,3332;-0,6078;3,2219;
IHFA;05/09/2008;1.033,19;0,1231;-0,4854;3,349;
IHFA;08/09/2008;1.032,04;-0,1113;-0,5962;3,2339;
IHFA;09/09/2008;1.028,62;-0,3314;-0,9256;2,8918;
IHFA;10/09/2008;1.030,60;0,1925;-0,7349;3,0899;
IHFA;11/09/2008;1.032,20;0,1552;-0,5808;3,2499;
IHFA;12/09/2008;1.034,21;0,1947;-0,3872;3,451;
IHFA;15/09/2008;1.027,25;-0,673;-1,0576;2,7548;
IHFA;16/09/2008;1.025,32;-0,1879;-1,2435;2,5617;
IHFA;17/09/2008;1.018,10;-0,7042;-1,9389;1,8395;
IHFA;18/09/2008;1.018,45;0,0344;-1,9052;1,8745;
IHFA;19/09/2008;1.029,45;1,0801;-0,8457;2,9749;
IHFA;22/09/2008;1.027,28;-0,2108;-1,0547;2,7578;
IHFA;23/09/2008;1.022,66;-0,4497;-1,4997;2,2957;
IHFA;24/09/2008;1.021,83;-0,0812;-1,5796;2,2126;
IHFA;25/09/2008;1.025,29;0,3386;-1,2464;2,5587;
IHFA;26/09/2008;1.024,60;-0,0673;-1,3128;2,4897;
IHFA;29/09/2008;1.014,79;-0,9574;-2,2577;1,5084;
IHFA;30/09/2008;1.021,37;0,6484;-1,6239;2,1666;
IHFA;01/10/2008;1.022,46;0,1067;0,1067;2,2757;4,0661
IHFA;02/10/2008;1.016,76;-0,5575;-0,4514;1,7055;3,3209
IHFA;03/10/2008;1.014,67;-0,2056;-0,656;1,4964;3,1116
IHFA;06/10/2008;1.003,62;-1,089;-1,7379;0,3911;2,0364
IHFA;07/10/2008;999,9;-0,3707;-2,1021;0,019;1,6582
IHFA;08/10/2008;997,03;-0,287;-2,3831;-0,2681;1,211
IHFA;09/10/2008;997,18;0,015;-2,3684;-0,2531;1,2479
IHFA;10/10/2008;992,59;-0,4603;-2,8178;-0,7122;0,6857
IHFA;13/10/2008;1.004,67;1,217;-1,6351;0,4961;1,9587
IHFA;14/10/2008;1.007,70;0,3016;-1,3384;0,7992;2,2662
IHFA;15/10/2008;1.000,51;-0,7135;-2,0424;0,08;1,3719
IHFA;16/10/2008;998,97;-0,1539;-2,1931;-0,074;1,3987
IHFA;17/10/2008;1.000,24;0,1271;-2,0688;0,053;1,7
IHFA;20/10/2008;1.006,88;0,6638;-1,4187;0,7172;2,2338
IHFA;21/10/2008;1.007,04;0,0159;-1,403;0,7332;2,25
IHFA;22/10/2008;994,79;-1,2164;-2,6024;-0,4921;0,9119
IHFA;23/10/2008;990,81;-0,4001;-2,9921;-0,8903;0,7771
IHFA;24/10/2008;982,22;-0,867;-3,8331;-1,7495;-0,3581
IHFA;27/10/2008;979,58;-0,2688;-4,0916;-2,0136;-0,6259
IHFA;28/10/2008;989;0,9616;-3,1693;-1,0713;0,3297
IHFA;29/10/2008;993,47;0,452;-2,7316;-0,6242;0,456
IHFA;30/10/2008;1.000,32;0,6895;-2,061;0,061;0,8743
IHFA;31/10/2008;1.000,74;0,042;-2,0198;0,103;0,9258
IHFA;03/11/2008;1.004,01;0,3268;0,3268;0,4301;1,1699
IHFA;04/11/2008;1.008,83;0,4801;0,8084;0,9123;1,6556
IHFA;05/11/2008;1.004,92;-0,3876;0,4177;0,5212;1,2238
IHFA;06/11/2008;1.003,62;-0,1294;0,2878;0,3911;1,1153
