Índice;Data de Referência;Número Índice;Variação Diária (%);Variação no Mês (%);Variação no Ano (%);Variação 12 Meses (%);Variação 24 Meses (%);Duration (d.u.);PMR
IMA-B;16/09/2003;723,070317;;;;;;;
IMA-B;17/09/2003;723,162887;0,0128;;;;;;
IMA-B;18/09/2003;724,280592;0,1546;;;;;;
IMA-B;19/09/2003;726,499199;0,3063;;;;;;
IMA-B;22/09/2003;728,083768;0,2181;;;;;;
IMA-B;23/09/2003;729,390764;0,1795;;;;;;
IMA-B;24/09/2003;730,015229;0,0856;;;;;;
IMA-B;25/09/2003;730,580760;0,0775;;;;;;
IMA-B;26/09/2003;731,100524;0,0711;;;;;;
IMA-B;29/09/2003;731,586940;0,0665;;;;;;
IMA-B;30/09/2003;732,134779;0,0749;;;;;;
IMA-B;01/10/2003;732,665968;0,0726;;;;;;
IMA-B;02/10/2003;733,246001;0,0792;;;;;;
IMA-B;03/10/2003;733,998349;0,1026;;;;;;
IMA-B;06/10/2003;735,712557;0,2335;;;;;;
IMA-B;07/10/2003;737,210325;0,2036;;;;;;
IMA-B;08/10/2003;738,034074;0,1117;;;;;;
IMA-B;09/10/2003;739,492798;0,1977;;;;;;
IMA-B;10/10/2003;740,033624;0,0731;;;;;;
IMA-B;13/10/2003;740,749187;0,0967;;;;;;
IMA-B;14/10/2003;741,565637;0,1102;;;;;;
IMA-B;15/10/2003;742,298544;0,0988;;;;;;
IMA-B;16/10/2003;743,366354;0,1439;;;;;;
IMA-B;17/10/2003;744,301719;0,1258;;;;;;
IMA-B;20/10/2003;745,343829;0,1400;;;;;;
IMA-B;21/10/2003;746,002239;0,0883;;;;;;
IMA-B;22/10/2003;746,562130;0,0751;;;;;;
IMA-B;23/10/2003;746,999759;0,0586;;;;;;
IMA-B;24/10/2003;747,539202;0,0722;;;;;;
IMA-B;27/10/2003;747,917616;0,0506;;;;;;
IMA-B;28/10/2003;748,238094;0,0428;;;;;;
IMA-B;29/10/2003;748,849013;0,0816;;;;;;
IMA-B;30/10/2003;749,292546;0,0592;;;;;;
IMA-B;31/10/2003;749,921194;0,0839;;;;;;
IMA-B;03/11/2003;750,365044;0,0592;;;;;;
IMA-B;04/11/2003;750,801322;0,0581;;;;;;
IMA-B;05/11/2003;751,212863;0,0548;;;;;;
IMA-B;06/11/2003;750,612044;-0,0800;;;;;;
IMA-B;07/11/2003;751,013517;0,0535;;;;;;
IMA-B;10/11/2003;751,433452;0,0559;;;;;;
IMA-B;11/11/2003;751,770723;0,0449;;;;;;
IMA-B;12/11/2003;752,162235;0,0521;;;;;;
IMA-B;13/11/2003;752,545636;0,0510;;;;;;
IMA-B;14/11/2003;752,768862;0,0297;;;;;;
IMA-B;17/11/2003;753,231005;0,0614;;;;;;
IMA-B;18/11/2003;753,680365;0,0597;;;;;;
IMA-B;19/11/2003;754,137395;0,0606;;;;;;
IMA-B;20/11/2003;760,434695;0,8350;;;;;;
IMA-B;21/11/2003;762,012425;0,2075;;;;;;
IMA-B;24/11/2003;764,439743;0,3185;;;;;;
IMA-B;25/11/2003;772,405551;1,0420;;;;;;
IMA-B;26/11/2003;773,951746;0,2002;;;;;;
IMA-B;27/11/2003;778,044990;0,5289;;;;;;
IMA-B;28/11/2003;780,713506;0,3430;;;;;;
IMA-B;01/12/2003;783,484916;0,3550;;;;;;
IMA-B;02/12/2003;784,553934;0,1364;;;;;;
IMA-B;03/12/2003;786,299316;0,2225;;;;;;
IMA-B;04/12/2003;789,563496;0,4151;;;;;;
IMA-B;05/12/2003;791,526341;0,2486;;;;;;
IMA-B;08/12/2003;792,911104;0,1749;;;;;;
IMA-B;09/12/2003;794,147792;0,1560;;;;;;
IMA-B;10/12/2003;798,197761;0,5100;;;;;;
IMA-B;11/12/2003;800,275870;0,2604;;;;;;
IMA-B;12/12/2003;802,105775;0,2287;;;;;;
IMA-B;15/12/2003;803,010800;0,1128;;;;;;
IMA-B;16/12/2003;804,112094;0,1371;;;;;;
IMA-B;17/12/2003;805,074496;0,1197;;;;;;
IMA-B;18/12/2003;805,838389;0,0949;;;;;;
IMA-B;19/12/2003;805,903292;0,0081;;;;;;
IMA-B;22/12/2003;807,363354;0,1812;;;;;;
IMA-B;23/12/2003;808,182336;0,1014;;;;;;
IMA-B;24/12/2003;808,895076;0,0882;;;;;;
IMA-B;26/12/2003;809,679507;0,0970;;;;;;
IMA-B;29/12/2003;810,703776;0,1265;;;;;;
IMA-B;30/12/2003;811,506895;0,0991;;;;;;
IMA-B;31/12/2003;811,970067;0,0571;;;;;;
IMA-B;02/01/2004;812,619394;0,0800;;;;;;
IMA-B;05/01/2004;813,397336;0,0957;;;;;;
IMA-B;06/01/2004;814,356007;0,1179;;;;;;
IMA-B;07/01/2004;817,157457;0,3440;;;;;;
IMA-B;08/01/2004;825,227028;0,9875;;;;;;
IMA-B;09/01/2004;829,120863;0,4719;;;;;;
IMA-B;12/01/2004;832,299407;0,3834;;;;;;
IMA-B;13/01/2004;836,592310;0,5158;;;;;;
IMA-B;14/01/2004;842,629700;0,7217;;;;;;
IMA-B;15/01/2004;845,383840;0,3269;;;;;;
IMA-B;16/01/2004;847,252381;0,2210;;;;;;
IMA-B;19/01/2004;848,314393;0,1253;;;;;;
IMA-B;20/01/2004;852,744326;0,5222;;;;;;
IMA-B;21/01/2004;853,792241;0,1229;;;;;;
IMA-B;22/01/2004;853,964404;0,0202;;;;;;
IMA-B;23/01/2004;854,429180;0,0544;;;;;;
IMA-B;26/01/2004;856,713261;0,2673;;;;;;
IMA-B;27/01/2004;857,243235;0,0619;;;;;;
IMA-B;28/01/2004;858,609824;0,1594;;;;;;
IMA-B;29/01/2004;859,023238;0,0481;;;;;;
IMA-B;30/01/2004;859,640824;0,0719;;;;;;
IMA-B;02/02/2004;860,434731;0,0924;;;;;;
IMA-B;03/02/2004;860,830206;0,0460;;;;;;
IMA-B;04/02/2004;861,462922;0,0735;;;;;;
IMA-B;05/02/2004;861,865995;0,0468;;;;;;
IMA-B;06/02/2004;862,470101;0,0701;;;;;;
IMA-B;09/02/2004;863,895731;0,1653;;;;;;
IMA-B;10/02/2004;864,348230;0,0524;;;;;;
IMA-B;11/02/2004;865,076208;0,0842;;;;;;
IMA-B;12/02/2004;865,856052;0,0901;;;;;;
IMA-B;13/02/2004;866,707673;0,0984;;;;;;
IMA-B;16/02/2004;867,079456;0,0429;;;;;;
IMA-B;17/02/2004;867,879516;0,0923;;;;;;
IMA-B;18/02/2004;868,798185;0,1059;;;;;;
IMA-B;19/02/2004;869,247345;0,0517;;;;;;
IMA-B;20/02/2004;869,770083;0,0601;;;;;;
IMA-B;25/02/2004;870,710863;0,1082;;;;;;
IMA-B;26/02/2004;871,573290;0,0990;;;;;;
IMA-B;27/02/2004;872,124846;0,0633;;;;;;
IMA-B;01/03/2004;873,039255;0,1048;;;;;;
IMA-B;02/03/2004;873,738690;0,0801;;;;;;
IMA-B;03/03/2004;874,441573;0,0804;;;;;;
IMA-B;04/03/2004;875,503276;0,1214;;;;;;
IMA-B;05/03/2004;876,458326;0,1091;;;;;;
IMA-B;08/03/2004;876,829256;0,0423;;;;;;
IMA-B;09/03/2004;877,624095;0,0906;;;;;;
IMA-B;10/03/2004;878,671785;0,1194;;;;;;
IMA-B;11/03/2004;878,038270;-0,0721;;;;;;
IMA-B;12/03/2004;878,739578;0,0799;;;;;;
IMA-B;15/03/2004;879,332761;0,0675;;;;;;
IMA-B;16/03/2004;879,772426;0,0500;;;;;;
IMA-B;17/03/2004;880,268762;0,0564;;;;;;
IMA-B;18/03/2004;880,697944;0,0488;;;;;;
IMA-B;19/03/2004;881,180155;0,0548;;;;;;
IMA-B;22/03/2004;881,657464;0,0542;;;;;;
IMA-B;23/03/2004;882,102004;0,0504;;;;;;
IMA-B;24/03/2004;882,629145;0,0598;;;;;;
IMA-B;25/03/2004;883,130908;0,0568;;;;;;
IMA-B;26/03/2004;883,550104;0,0475;;;;;;
IMA-B;29/03/2004;883,991769;0,0500;;;;;;
IMA-B;30/03/2004;884,478498;0,0551;;;;;;
IMA-B;31/03/2004;884,873768;0,0447;;;;;;
IMA-B;01/04/2004;885,269042;0,0447;;;;;;
IMA-B;02/04/2004;885,706103;0,0494;;;;;;
IMA-B;05/04/2004;886,159467;0,0512;;;;;;
IMA-B;06/04/2004;886,778986;0,0699;;;;;;
IMA-B;07/04/2004;887,513823;0,0829;;;;;;
IMA-B;08/04/2004;888,036715;0,0589;;;;;;
IMA-B;12/04/2004;888,520562;0,0545;;;;;;
IMA-B;13/04/2004;888,859857;0,0382;;;;;;
IMA-B;14/04/2004;889,068256;0,0234;;;;;;
IMA-B;15/04/2004;889,616475;0,0617;;;;;;
IMA-B;16/04/2004;890,096868;0,0540;;;;;;
IMA-B;19/04/2004;890,558598;0,0519;;;;;;
IMA-B;20/04/2004;891,149107;0,0663;;;;;;
IMA-B;22/04/2004;891,877885;0,0818;;;;;;
IMA-B;23/04/2004;892,455747;0,0648;;;;;;
IMA-B;26/04/2004;892,980876;0,0588;;;;;;
IMA-B;27/04/2004;893,222107;0,0270;;;;;;
IMA-B;28/04/2004;893,124990;-0,0109;;;;;;
IMA-B;29/04/2004;893,500903;0,0421;;;;;;
IMA-B;30/04/2004;893,734774;0,0262;;;;;;
IMA-B;03/05/2004;893,863089;0,0144;;;;;;
IMA-B;04/05/2004;893,862165;-0,0001;;;;;;
IMA-B;05/05/2004;893,883462;0,0024;;;;;;
IMA-B;06/05/2004;893,624243;-0,0290;;;;;;
IMA-B;07/05/2004;894,074316;0,0504;;;;;;
IMA-B;10/05/2004;894,693202;0,0692;;;;;;
IMA-B;11/05/2004;894,585998;-0,0120;;;;;;
IMA-B;12/05/2004;894,232996;-0,0395;;;;;;
IMA-B;13/05/2004;889,922579;-0,4820;;;;;;
IMA-B;14/05/2004;889,312013;-0,0686;;;;;;
IMA-B;17/05/2004;886,717031;-0,2918;;;;;;
IMA-B;18/05/2004;887,164825;0,0505;;;;;;
IMA-B;19/05/2004;887,168807;0,0004;;;;;;
IMA-B;20/05/2004;887,764530;0,0671;;;;;;
IMA-B;21/05/2004;887,891602;0,0143;;;;;;
IMA-B;24/05/2004;888,148560;0,0289;;;;;;
IMA-B;25/05/2004;888,484154;0,0378;;;;;;
IMA-B;26/05/2004;888,347658;-0,0154;;;;;;
IMA-B;27/05/2004;888,779208;0,0486;;;;;;
IMA-B;28/05/2004;889,690783;0,1026;;;;;;
IMA-B;31/05/2004;890,415868;0,0815;;;;;;
IMA-B;01/06/2004;890,997203;0,0653;;;;;;
IMA-B;02/06/2004;891,403132;0,0456;;;;;;
IMA-B;03/06/2004;891,718977;0,0354;;;;;;
IMA-B;04/06/2004;891,932021;0,0239;;;;;;
IMA-B;07/06/2004;892,611609;0,0762;;;;;;
IMA-B;08/06/2004;892,971371;0,0403;;;;;;
IMA-B;09/06/2004;893,774216;0,0899;;;;;;
IMA-B;11/06/2004;894,116443;0,0383;;;;;;
IMA-B;14/06/2004;894,648862;0,0595;;;;;;
IMA-B;15/06/2004;895,359498;0,0794;;;;;;
IMA-B;16/06/2004;895,863685;0,0563;;;;;;
IMA-B;17/06/2004;896,598018;0,0820;;;;;;
IMA-B;18/06/2004;897,252029;0,0729;;;;;;
IMA-B;21/06/2004;897,844912;0,0661;;;;;;
IMA-B;22/06/2004;898,371386;0,0586;;;;;;
IMA-B;23/06/2004;898,924767;0,0616;;;;;;
IMA-B;24/06/2004;899,798249;0,0972;;;;;;
IMA-B;25/06/2004;900,432078;0,0704;;;;;;
IMA-B;28/06/2004;901,295964;0,0959;;;;;;
IMA-B;29/06/2004;901,913601;0,0685;;;;;;
IMA-B;30/06/2004;902,666245;0,0834;;;;;;
IMA-B;01/07/2004;903,382938;0,0794;;;;;;
IMA-B;02/07/2004;904,216217;0,0922;;;;;;
IMA-B;05/07/2004;904,931764;0,0791;;;;;;
IMA-B;06/07/2004;905,835922;0,0999;;;;;;
IMA-B;07/07/2004;906,717841;0,0974;;;;;;
IMA-B;08/07/2004;907,538618;0,0905;;;;;;
IMA-B;09/07/2004;908,090009;0,0608;;;;;;
IMA-B;12/07/2004;908,795770;0,0777;;;;;;
IMA-B;13/07/2004;909,310949;0,0567;;;;;;
